# source: IEA-CCUS-2026
# description: Custom projections based on {{source}} with details documented in the description of the `Feasibility Concern|Carbon Capture and Storage` criterion.
variable,year,region,unit,value
Carbon Capture|Geological Storage,2030,FRA,Mt CO2/yr,7.644
Carbon Capture|Geological Storage,2030,FRO,Mt CO2/yr,0.0098
Carbon Capture|Geological Storage,2030,FSM,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,GAB,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,GBR,Mt CO2/yr,12.18
Carbon Capture|Geological Storage,2030,GEO,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,GGY,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,GHA,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,GIB,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,GIN,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,GLP,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,GMB,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,GNB,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,GNQ,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,GRC,Mt CO2/yr,0.8204
Carbon Capture|Geological Storage,2030,GRD,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,GRL,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,GTM,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,GUF,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,GUM,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,GUY,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,HKG,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,HMD,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,HND,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,HRV,Mt CO2/yr,0.3136
Carbon Capture|Geological Storage,2030,HTI,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,HUN,Mt CO2/yr,0.819
Carbon Capture|Geological Storage,2030,IDN,Mt CO2/yr,9.996
Carbon Capture|Geological Storage,2030,IMN,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,IND,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,IOT,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,IRL,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,IRN,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,IRQ,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,ISL,Mt CO2/yr,1.1088
Carbon Capture|Geological Storage,2030,ISR,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,ITA,Mt CO2/yr,6.4722
