# source: IEA-HSMR-2021
# description: Custom projections based on {{source}} with details documented in the description of the `Feasibility Concern|Hydropower Capacity` criterion.
variable,year,region,unit,value
Capacity|Electricity|Hydro,2030,GUM,GW,0.0
Capacity|Electricity|Hydro,2030,GUY,GW,0.0
Capacity|Electricity|Hydro,2030,HKG,GW,0.0
Capacity|Electricity|Hydro,2030,HMD,GW,0.0
Capacity|Electricity|Hydro,2030,HND,GW,0.0
Capacity|Electricity|Hydro,2030,HRV,GW,0.0
Capacity|Electricity|Hydro,2030,HTI,GW,0.0
Capacity|Electricity|Hydro,2030,HUN,GW,0.0
Capacity|Electricity|Hydro,2030,IDN,GW,3.6
Capacity|Electricity|Hydro,2030,IMN,GW,0.0
Capacity|Electricity|Hydro,2030,IND,GW,27.06
Capacity|Electricity|Hydro,2030,IOT,GW,0.0
Capacity|Electricity|Hydro,2030,IRL,GW,0.0
Capacity|Electricity|Hydro,2030,IRN,GW,6.66
Capacity|Electricity|Hydro,2030,IRQ,GW,0.0
Capacity|Electricity|Hydro,2030,ISL,GW,0.0
Capacity|Electricity|Hydro,2030,ISR,GW,0.18
Capacity|Electricity|Hydro,2030,ITA,GW,9.06
Capacity|Electricity|Hydro,2030,JAM,GW,0.0
Capacity|Electricity|Hydro,2030,JEY,GW,0.0
Capacity|Electricity|Hydro,2030,JOR,GW,0.009
Capacity|Electricity|Hydro,2030,JPN,GW,13.44
Capacity|Electricity|Hydro,2030,KAZ,GW,0.0
Capacity|Electricity|Hydro,2030,KEN,GW,0.48
Capacity|Electricity|Hydro,2030,KGZ,GW,0.0
Capacity|Electricity|Hydro,2030,KHM,GW,0.78
Capacity|Electricity|Hydro,2030,KIR,GW,0.0
Capacity|Electricity|Hydro,2030,KNA,GW,0.0
Capacity|Electricity|Hydro,2030,KOR,GW,1.02
Capacity|Electricity|Hydro,2030,KWT,GW,0.0
Capacity|Electricity|Hydro,2030,LAO,GW,0.0
Capacity|Electricity|Hydro,2030,LBN,GW,0.0
Capacity|Electricity|Hydro,2030,LBR,GW,0.0
Capacity|Electricity|Hydro,2030,LBY,GW,0.0
Capacity|Electricity|Hydro,2030,LCA,GW,0.0
Capacity|Electricity|Hydro,2030,LIE,GW,0.0
Capacity|Electricity|Hydro,2030,LKA,GW,1.02
Capacity|Electricity|Hydro,2030,LSO,GW,0.0
Capacity|Electricity|Hydro,2030,LTU,GW,0.0
Capacity|Electricity|Hydro,2030,LUX,GW,0.0
Capacity|Electricity|Hydro,2030,LVA,GW,0.0
Capacity|Electricity|Hydro,2030,MAC,GW,0.0
