# source: IAEA-PRIS-2026
# description: Custom projections based on {{source}} with details documented in the description of the `Feasibility Concern|Nuclear Capacity` criterion.
variable,year,region,unit,value
Capacity|Electricity|Nuclear,2030,ETH,GW,0.0
Capacity|Electricity|Nuclear,2030,FIN,GW,2.0976
Capacity|Electricity|Nuclear,2030,FJI,GW,0.0
Capacity|Electricity|Nuclear,2030,FLK,GW,0.0
Capacity|Electricity|Nuclear,2030,FRA,GW,30.24
Capacity|Electricity|Nuclear,2030,FRO,GW,0.0
Capacity|Electricity|Nuclear,2030,FSM,GW,0.0
Capacity|Electricity|Nuclear,2030,GAB,GW,0.0
Capacity|Electricity|Nuclear,2030,GBR,GW,2.8224
Capacity|Electricity|Nuclear,2030,GEO,GW,0.0
Capacity|Electricity|Nuclear,2030,GGY,GW,0.0
Capacity|Electricity|Nuclear,2030,GHA,GW,0.0
Capacity|Electricity|Nuclear,2030,GIB,GW,0.0
Capacity|Electricity|Nuclear,2030,GIN,GW,0.0
Capacity|Electricity|Nuclear,2030,GLP,GW,0.0
Capacity|Electricity|Nuclear,2030,GMB,GW,0.0
Capacity|Electricity|Nuclear,2030,GNB,GW,0.0
Capacity|Electricity|Nuclear,2030,GNQ,GW,0.0
Capacity|Electricity|Nuclear,2030,GRC,GW,0.0
Capacity|Electricity|Nuclear,2030,GRD,GW,0.0
Capacity|Electricity|Nuclear,2030,GRL,GW,0.0
Capacity|Electricity|Nuclear,2030,GTM,GW,0.0
Capacity|Electricity|Nuclear,2030,GUF,GW,0.0
Capacity|Electricity|Nuclear,2030,GUM,GW,0.0
Capacity|Electricity|Nuclear,2030,GUY,GW,0.0
Capacity|Electricity|Nuclear,2030,HKG,GW,0.0
Capacity|Electricity|Nuclear,2030,HMD,GW,0.0
Capacity|Electricity|Nuclear,2030,HND,GW,0.0
Capacity|Electricity|Nuclear,2030,HRV,GW,0.0
Capacity|Electricity|Nuclear,2030,HTI,GW,0.0
Capacity|Electricity|Nuclear,2030,HUN,GW,0.9216
Capacity|Electricity|Nuclear,2030,IDN,GW,0.0
Capacity|Electricity|Nuclear,2030,IMN,GW,0.0
Capacity|Electricity|Nuclear,2030,IND,GW,3.5664
Capacity|Electricity|Nuclear,2030,IOT,GW,0.0
Capacity|Electricity|Nuclear,2030,IRL,GW,0.0
Capacity|Electricity|Nuclear,2030,IRN,GW,0.4416
Capacity|Electricity|Nuclear,2030,IRQ,GW,0.0
Capacity|Electricity|Nuclear,2030,ISL,GW,0.0
Capacity|Electricity|Nuclear,2030,ISR,GW,0.0
Capacity|Electricity|Nuclear,2030,ITA,GW,0.0
Capacity|Electricity|Nuclear,2030,JAM,GW,0.0
Capacity|Electricity|Nuclear,2030,JEY,GW,0.0
Capacity|Electricity|Nuclear,2030,JOR,GW,0.0
Capacity|Electricity|Nuclear,2030,JPN,GW,6.0624
Capacity|Electricity|Nuclear,2030,KAZ,GW,0.0
Capacity|Electricity|Nuclear,2030,KEN,GW,0.0
Capacity|Electricity|Nuclear,2030,KGZ,GW,0.0
Capacity|Electricity|Nuclear,2030,KHM,GW,0.0
Capacity|Electricity|Nuclear,2030,KIR,GW,0.0
Capacity|Electricity|Nuclear,2030,KNA,GW,0.0
Capacity|Electricity|Nuclear,2030,KOR,GW,12.2928
Capacity|Electricity|Nuclear,2030,KWT,GW,0.0
Capacity|Electricity|Nuclear,2030,LAO,GW,0.0
Capacity|Electricity|Nuclear,2030,LBN,GW,0.0
Capacity|Electricity|Nuclear,2030,LBR,GW,0.0
Capacity|Electricity|Nuclear,2030,LBY,GW,0.0
Capacity|Electricity|Nuclear,2030,LCA,GW,0.0
Capacity|Electricity|Nuclear,2030,LIE,GW,0.0
Capacity|Electricity|Nuclear,2030,LKA,GW,0.0
Capacity|Electricity|Nuclear,2030,LSO,GW,0.0
Capacity|Electricity|Nuclear,2030,LTU,GW,0.0
Capacity|Electricity|Nuclear,2030,LUX,GW,0.0
Capacity|Electricity|Nuclear,2030,LVA,GW,0.0
Capacity|Electricity|Nuclear,2030,MAC,GW,0.0
Capacity|Electricity|Nuclear,2030,MAF,GW,0.0
Capacity|Electricity|Nuclear,2030,MAR,GW,0.0
Capacity|Electricity|Nuclear,2030,MCO,GW,0.0
Capacity|Electricity|Nuclear,2030,MDA,GW,0.0
Capacity|Electricity|Nuclear,2030,MDG,GW,0.0
Capacity|Electricity|Nuclear,2030,MDV,GW,0.0
Capacity|Electricity|Nuclear,2030,MEX,GW,0.744
Capacity|Electricity|Nuclear,2030,MHL,GW,0.0
Capacity|Electricity|Nuclear,2030,MKD,GW,0.0
Capacity|Electricity|Nuclear,2030,MLI,GW,0.0
Capacity|Electricity|Nuclear,2030,MLT,GW,0.0
Capacity|Electricity|Nuclear,2030,MMR,GW,0.0
Capacity|Electricity|Nuclear,2030,MNE,GW,0.0
Capacity|Electricity|Nuclear,2030,MNG,GW,0.0
Capacity|Electricity|Nuclear,2030,MNP,GW,0.0
Capacity|Electricity|Nuclear,2030,MOZ,GW,0.0
Capacity|Electricity|Nuclear,2030,MRT,GW,0.0
Capacity|Electricity|Nuclear,2030,MSR,GW,0.0
Capacity|Electricity|Nuclear,2030,MTQ,GW,0.0
Capacity|Electricity|Nuclear,2030,MUS,GW,0.0
Capacity|Electricity|Nuclear,2030,MWI,GW,0.0
Capacity|Electricity|Nuclear,2030,MYS,GW,0.0
Capacity|Electricity|Nuclear,2030,MYT,GW,0.0
Capacity|Electricity|Nuclear,2030,NAM,GW,0.0
Capacity|Electricity|Nuclear,2030,NCL,GW,0.0
Capacity|Electricity|Nuclear,2030,NER,GW,0.0
Capacity|Electricity|Nuclear,2030,NFK,GW,0.0
Capacity|Electricity|Nuclear,2030,NGA,GW,0.0
Capacity|Electricity|Nuclear,2030,NIC,GW,0.0
Capacity|Electricity|Nuclear,2030,NIU,GW,0.0
Capacity|Electricity|Nuclear,2030,NLD,GW,0.2304
Capacity|Electricity|Nuclear,2030,NOR,GW,0.0
Capacity|Electricity|Nuclear,2030,NPL,GW,0.0
Capacity|Electricity|Nuclear,2030,NRU,GW,0.0
Capacity|Electricity|Nuclear,2030,NZL,GW,0.0
Capacity|Electricity|Nuclear,2030,OMN,GW,0.0
Capacity|Electricity|Nuclear,2030,PAK,GW,1.5648
Capacity|Electricity|Nuclear,2030,PAN,GW,0.0
Capacity|Electricity|Nuclear,2030,PCN,GW,0.0
Capacity|Electricity|Nuclear,2030,PER,GW,0.0
Capacity|Electricity|Nuclear,2030,PHL,GW,0.0
Capacity|Electricity|Nuclear,2030,PLW,GW,0.0
Capacity|Electricity|Nuclear,2030,PNG,GW,0.0
Capacity|Electricity|Nuclear,2030,POL,GW,0.0
Capacity|Electricity|Nuclear,2030,PRI,GW,0.0
Capacity|Electricity|Nuclear,2030,PRK,GW,0.0
Capacity|Electricity|Nuclear,2030,PRT,GW,0.0
Capacity|Electricity|Nuclear,2030,PRY,GW,0.0
Capacity|Electricity|Nuclear,2030,PSE,GW,0.0
Capacity|Electricity|Nuclear,2030,PYF,GW,0.0
Capacity|Electricity|Nuclear,2030,QAT,GW,0.0
Capacity|Electricity|Nuclear,2030,REU,GW,0.0
Capacity|Electricity|Nuclear,2030,ROU,GW,0.624
Capacity|Electricity|Nuclear,2030,RUS,GW,13.4256
Capacity|Electricity|Nuclear,2030,RWA,GW,0.0
Capacity|Electricity|Nuclear,2030,SAU,GW,0.0
Capacity|Electricity|Nuclear,2030,SDN,GW,0.0
Capacity|Electricity|Nuclear,2030,SEN,GW,0.0
Capacity|Electricity|Nuclear,2030,SGP,GW,0.0
Capacity|Electricity|Nuclear,2030,SGS,GW,0.0
Capacity|Electricity|Nuclear,2030,SHN,GW,0.0
Capacity|Electricity|Nuclear,2030,SJM,GW,0.0
Capacity|Electricity|Nuclear,2030,SLB,GW,0.0
Capacity|Electricity|Nuclear,2030,SLE,GW,0.0
Capacity|Electricity|Nuclear,2030,SLV,GW,0.0
Capacity|Electricity|Nuclear,2030,SMR,GW,0.0
Capacity|Electricity|Nuclear,2030,SOM,GW,0.0
Capacity|Electricity|Nuclear,2030,SPM,GW,0.0
Capacity|Electricity|Nuclear,2030,SRB,GW,0.0
Capacity|Electricity|Nuclear,2030,SSD,GW,0.0
Capacity|Electricity|Nuclear,2030,STP,GW,0.0
Capacity|Electricity|Nuclear,2030,SUR,GW,0.0
Capacity|Electricity|Nuclear,2030,SVK,GW,1.1088
Capacity|Electricity|Nuclear,2030,SVN,GW,0.336
Capacity|Electricity|Nuclear,2030,SWE,GW,3.3648
Capacity|Electricity|Nuclear,2030,SWZ,GW,0.0
Capacity|Electricity|Nuclear,2030,SXM,GW,0.0
Capacity|Electricity|Nuclear,2030,SYC,GW,0.0
Capacity|Electricity|Nuclear,2030,SYR,GW,0.0
Capacity|Electricity|Nuclear,2030,TCA,GW,0.0
Capacity|Electricity|Nuclear,2030,TCD,GW,0.0
Capacity|Electricity|Nuclear,2030,TGO,GW,0.0
Capacity|Electricity|Nuclear,2030,THA,GW,0.0
Capacity|Electricity|Nuclear,2030,TJK,GW,0.0
Capacity|Electricity|Nuclear,2030,TKL,GW,0.0
Capacity|Electricity|Nuclear,2030,TKM,GW,0.0
Capacity|Electricity|Nuclear,2030,TLS,GW,0.0
Capacity|Electricity|Nuclear,2030,TON,GW,0.0
Capacity|Electricity|Nuclear,2030,TTO,GW,0.0
Capacity|Electricity|Nuclear,2030,TUN,GW,0.0
Capacity|Electricity|Nuclear,2030,TUR,GW,0.0
Capacity|Electricity|Nuclear,2030,TUV,GW,0.0
Capacity|Electricity|Nuclear,2030,TWN,GW,0.0
Capacity|Electricity|Nuclear,2030,TZA,GW,0.0
Capacity|Electricity|Nuclear,2030,UGA,GW,0.0
Capacity|Electricity|Nuclear,2030,UKR,GW,6.2928
Capacity|Electricity|Nuclear,2030,UMI,GW,0.0
Capacity|Electricity|Nuclear,2030,URY,GW,0.0
Capacity|Electricity|Nuclear,2030,USA,GW,46.536
Capacity|Electricity|Nuclear,2030,UZB,GW,0.0
Capacity|Electricity|Nuclear,2030,VAT,GW,0.0
Capacity|Electricity|Nuclear,2030,VCT,GW,0.0
Capacity|Electricity|Nuclear,2030,VEN,GW,0.0
Capacity|Electricity|Nuclear,2030,VGB,GW,0.0
Capacity|Electricity|Nuclear,2030,VIR,GW,0.0
Capacity|Electricity|Nuclear,2030,VNM,GW,0.0
Capacity|Electricity|Nuclear,2030,VUT,GW,0.0
Capacity|Electricity|Nuclear,2030,WLF,GW,0.0
Capacity|Electricity|Nuclear,2030,WSM,GW,0.0
Capacity|Electricity|Nuclear,2030,YEM,GW,0.0
Capacity|Electricity|Nuclear,2030,ZAF,GW,0.888
Capacity|Electricity|Nuclear,2030,ZMB,GW,0.0
Capacity|Electricity|Nuclear,2030,ZWE,GW,0.0
