# source: EI-2023
# description: Data from {{source}} linearly extrapolated to 2025.
variable,year,region,unit,value
Primary Energy|Coal,2025,GNB,EJ/yr,0.0006
Primary Energy|Coal,2025,GNQ,EJ/yr,0.0018000000000000002
Primary Energy|Coal,2025,GRC,EJ/yr,0.010000000000000009
Primary Energy|Coal,2025,GRD,EJ/yr,0.0001
Primary Energy|Coal,2025,GRL,EJ/yr,0.0
Primary Energy|Coal,2025,GTM,EJ/yr,0.024999999999999998
Primary Energy|Coal,2025,GUF,EJ/yr,0.0003
Primary Energy|Coal,2025,GUM,EJ/yr,0.0
Primary Energy|Coal,2025,GUY,EJ/yr,0.0015
Primary Energy|Coal,2025,HKG,EJ/yr,0.1399
Primary Energy|Coal,2025,HMD,EJ/yr,0.0
Primary Energy|Coal,2025,HND,EJ/yr,0.0113
Primary Energy|Coal,2025,HRV,EJ/yr,0.008299999999999997
Primary Energy|Coal,2025,HTI,EJ/yr,0.010400000000000001
Primary Energy|Coal,2025,HUN,EJ/yr,0.004699999999999996
Primary Energy|Coal,2025,IDN,EJ/yr,4.2002999999999995
Primary Energy|Coal,2025,IMN,EJ/yr,0.0
Primary Energy|Coal,2025,IND,EJ/yr,25.892400000000002
Primary Energy|Coal,2025,IOT,EJ/yr,0.0
Primary Energy|Coal,2025,IRL,EJ/yr,0.0019999999999999914
Primary Energy|Coal,2025,IRN,EJ/yr,0.08159999999999999
Primary Energy|Coal,2025,IRQ,EJ/yr,0.0
Primary Energy|Coal,2025,ISL,EJ/yr,0.0009000000000000011
Primary Energy|Coal,2025,ISR,EJ/yr,0.09510000000000005
Primary Energy|Coal,2025,ITA,EJ/yr,0.02839999999999998
Primary Energy|Coal,2025,JAM,EJ/yr,0.005599999999999999
Primary Energy|Coal,2025,JEY,EJ/yr,0.0
Primary Energy|Coal,2025,JOR,EJ/yr,0.016
Primary Energy|Coal,2025,JPN,EJ/yr,3.777400000000002
Primary Energy|Coal,2025,KAZ,EJ/yr,1.3379000000000005
Primary Energy|Coal,2025,KEN,EJ/yr,0.0281
Primary Energy|Coal,2025,KGZ,EJ/yr,0.0267
Primary Energy|Coal,2025,KHM,EJ/yr,0.10550000000000001
Primary Energy|Coal,2025,KIR,EJ/yr,0.0007
Primary Energy|Coal,2025,KNA,EJ/yr,0.0001
Primary Energy|Coal,2025,KOR,EJ/yr,2.3471000000000006
Primary Energy|Coal,2025,KWT,EJ/yr,0.0055
Primary Energy|Coal,2025,LAO,EJ/yr,0.0759
Primary Energy|Coal,2025,LBN,EJ/yr,0.015400000000000002
Primary Energy|Coal,2025,LBR,EJ/yr,0.0017000000000000001
Primary Energy|Coal,2025,LBY,EJ/yr,0.021799999999999996
Primary Energy|Coal,2025,LCA,EJ/yr,0.0002
Primary Energy|Coal,2025,LIE,EJ/yr,0.0
Primary Energy|Coal,2025,LKA,EJ/yr,0.04589999999999999
Primary Energy|Coal,2025,LSO,EJ/yr,0.0008
Primary Energy|Coal,2025,LTU,EJ/yr,-0.0013
Primary Energy|Coal,2025,LUX,EJ/yr,0.0008000000000000001
Primary Energy|Coal,2025,LVA,EJ/yr,-0.0003
Primary Energy|Coal,2025,MAC,EJ/yr,0.02489999999999999
Primary Energy|Coal,2025,MAF,EJ/yr,0.0
Primary Energy|Coal,2025,MAR,EJ/yr,0.25300000000000006
Primary Energy|Coal,2025,MCO,EJ/yr,0.0
Primary Energy|Coal,2025,MDA,EJ/yr,0.024199999999999996
Primary Energy|Coal,2025,MDG,EJ/yr,0.008300000000000002
Primary Energy|Coal,2025,MDV,EJ/yr,0.0036999999999999997
Primary Energy|Coal,2025,MEX,EJ/yr,0.30360000000000004
Primary Energy|Coal,2025,MHL,EJ/yr,0.0
Primary Energy|Coal,2025,MKD,EJ/yr,0.0409
Primary Energy|Coal,2025,MLI,EJ/yr,0.007400000000000001
Primary Energy|Coal,2025,MLT,EJ/yr,0.030000000000000013
Primary Energy|Coal,2025,MMR,EJ/yr,0.3135
Primary Energy|Coal,2025,MNE,EJ/yr,0.013600000000000004
Primary Energy|Coal,2025,MNG,EJ/yr,0.09439999999999998
Primary Energy|Coal,2025,MNP,EJ/yr,0.0
Primary Energy|Coal,2025,MOZ,EJ/yr,0.0122
Primary Energy|Coal,2025,MRT,EJ/yr,0.0018000000000000002
Primary Energy|Coal,2025,MSR,EJ/yr,0.0
Primary Energy|Coal,2025,MTQ,EJ/yr,0.0007
Primary Energy|Coal,2025,MUS,EJ/yr,0.0021000000000000003
Primary Energy|Coal,2025,MWI,EJ/yr,0.0064
Primary Energy|Coal,2025,MYS,EJ/yr,1.0538000000000003
Primary Energy|Coal,2025,MYT,EJ/yr,0.0
Primary Energy|Coal,2025,NAM,EJ/yr,0.0016
Primary Energy|Coal,2025,NCL,EJ/yr,0.0
Primary Energy|Coal,2025,NER,EJ/yr,0.0032
Primary Energy|Coal,2025,NFK,EJ/yr,0.0
Primary Energy|Coal,2025,NGA,EJ/yr,0.0681
Primary Energy|Coal,2025,NIC,EJ/yr,0.0072
Primary Energy|Coal,2025,NIU,EJ/yr,0.0
Primary Energy|Coal,2025,NLD,EJ/yr,0.012000000000000038
Primary Energy|Coal,2025,NOR,EJ/yr,0.036399999999999995
Primary Energy|Coal,2025,NPL,EJ/yr,0.21579999999999994
Primary Energy|Coal,2025,NRU,EJ/yr,0.0
Primary Energy|Coal,2025,NZL,EJ/yr,0.0312
Primary Energy|Coal,2025,OMN,EJ/yr,0.0051
Primary Energy|Coal,2025,PAK,EJ/yr,0.5656999999999999
Primary Energy|Coal,2025,PAN,EJ/yr,0.015400000000000002
Primary Energy|Coal,2025,PCN,EJ/yr,0.0
Primary Energy|Coal,2025,PER,EJ/yr,0.027299999999999998
Primary Energy|Coal,2025,PHL,EJ/yr,1.0479000000000003
Primary Energy|Coal,2025,PLW,EJ/yr,0.0004
Primary Energy|Coal,2025,PNG,EJ/yr,0.04290000000000001
Primary Energy|Coal,2025,POL,EJ/yr,0.9491
Primary Energy|Coal,2025,PRI,EJ/yr,0.008700000000000003
Primary Energy|Coal,2025,PRK,EJ/yr,0.2213
Primary Energy|Coal,2025,PRT,EJ/yr,8.131516293641283e-20
Primary Energy|Coal,2025,PRY,EJ/yr,0.018400000000000003
Primary Energy|Coal,2025,PSE,EJ/yr,0.0
Primary Energy|Coal,2025,PYF,EJ/yr,0.0
Primary Energy|Coal,2025,QAT,EJ/yr,0.0007
Primary Energy|Coal,2025,REU,EJ/yr,0.0
Primary Energy|Coal,2025,ROU,EJ/yr,0.04000000000000001
Primary Energy|Coal,2025,RUS,EJ/yr,3.8186999999999998
Primary Energy|Coal,2025,RWA,EJ/yr,0.004500000000000001
Primary Energy|Coal,2025,SAU,EJ/yr,0.0045
Primary Energy|Coal,2025,SDN,EJ/yr,0.020700000000000007
Primary Energy|Coal,2025,SEN,EJ/yr,0.0049
Primary Energy|Coal,2025,SGP,EJ/yr,0.0075000000000000015
Primary Energy|Coal,2025,SGS,EJ/yr,0.0
Primary Energy|Coal,2025,SHN,EJ/yr,0.0
Primary Energy|Coal,2025,SJM,EJ/yr,0.0
Primary Energy|Coal,2025,SLB,EJ/yr,0.002799999999999999
Primary Energy|Coal,2025,SLE,EJ/yr,0.0029000000000000002
Primary Energy|Coal,2025,SLV,EJ/yr,0.008299999999999998
Primary Energy|Coal,2025,SMR,EJ/yr,0.0
Primary Energy|Coal,2025,SOM,EJ/yr,0.0050999999999999995
Primary Energy|Coal,2025,SPM,EJ/yr,0.0
Primary Energy|Coal,2025,SRB,EJ/yr,0.16510000000000002
Primary Energy|Coal,2025,SSD,EJ/yr,0.0
Primary Energy|Coal,2025,STP,EJ/yr,0.0001
Primary Energy|Coal,2025,SUR,EJ/yr,0.002
Primary Energy|Coal,2025,SVK,EJ/yr,0.087
Primary Energy|Coal,2025,SVN,EJ/yr,0.023300000000000005
Primary Energy|Coal,2025,SWE,EJ/yr,0.06279999999999998
Primary Energy|Coal,2025,SWZ,EJ/yr,0.0013000000000000002
Primary Energy|Coal,2025,SXM,EJ/yr,0.0
Primary Energy|Coal,2025,SYC,EJ/yr,0.0001
Primary Energy|Coal,2025,SYR,EJ/yr,0.0228
Primary Energy|Coal,2025,TCA,EJ/yr,0.0
Primary Energy|Coal,2025,TCD,EJ/yr,0.0057
Primary Energy|Coal,2025,TGO,EJ/yr,0.0039000000000000003
Primary Energy|Coal,2025,THA,EJ/yr,0.3917999999999999
Primary Energy|Coal,2025,TJK,EJ/yr,0.018399999999999996
Primary Energy|Coal,2025,TKL,EJ/yr,0.0
Primary Energy|Coal,2025,TKM,EJ/yr,0.0
Primary Energy|Coal,2025,TLS,EJ/yr,0.006400000000000001
Primary Energy|Coal,2025,TON,EJ/yr,0.0007999999999999998
Primary Energy|Coal,2025,TTO,EJ/yr,0.0
Primary Energy|Coal,2025,TUN,EJ/yr,0.012299999999999997
Primary Energy|Coal,2025,TUR,EJ/yr,1.4289999999999998
Primary Energy|Coal,2025,TUV,EJ/yr,0.0
Primary Energy|Coal,2025,TWN,EJ/yr,1.3072000000000001
Primary Energy|Coal,2025,TZA,EJ/yr,0.024600000000000004
Primary Energy|Coal,2025,UGA,EJ/yr,0.019900000000000008
Primary Energy|Coal,2025,UKR,EJ/yr,0.3727000000000001
Primary Energy|Coal,2025,UMI,EJ/yr,0.0
Primary Energy|Coal,2025,URY,EJ/yr,0.010100000000000001
Primary Energy|Coal,2025,USA,EJ/yr,4.768699999999999
Primary Energy|Coal,2025,UZB,EJ/yr,0.19649999999999995
Primary Energy|Coal,2025,VAT,EJ/yr,0.0
Primary Energy|Coal,2025,VCT,EJ/yr,0.0001
Primary Energy|Coal,2025,VEN,EJ/yr,0.0067
Primary Energy|Coal,2025,VGB,EJ/yr,0.0001
Primary Energy|Coal,2025,VIR,EJ/yr,0.0
Primary Energy|Coal,2025,VNM,EJ/yr,3.1675000000000004
Primary Energy|Coal,2025,VUT,EJ/yr,0.0013000000000000002
Primary Energy|Coal,2025,WLF,EJ/yr,0.0
Primary Energy|Coal,2025,WSM,EJ/yr,0.0013000000000000002
Primary Energy|Coal,2025,World,EJ/yr,169.04350000000005
Primary Energy|Coal,2025,YEM,EJ/yr,0.152
Primary Energy|Coal,2025,ZAF,EJ/yr,3.2185
Primary Energy|Coal,2025,ZMB,EJ/yr,0.013500000000000002
Primary Energy|Coal,2025,ZWE,EJ/yr,0.007700000000000001
Primary Energy|Gas,2025,ABW,EJ/yr,0.0007
Primary Energy|Gas,2025,AFG,EJ/yr,0.04259999999999999
Primary Energy|Gas,2025,AGO,EJ/yr,0.07990000000000003
Primary Energy|Gas,2025,AIA,EJ/yr,0.0
Primary Energy|Gas,2025,ALA,EJ/yr,0.0
Primary Energy|Gas,2025,ALB,EJ/yr,0.017300000000000003
Primary Energy|Gas,2025,AND,EJ/yr,0.0
Primary Energy|Gas,2025,ARE,EJ/yr,2.4614
Primary Energy|Gas,2025,ARG,EJ/yr,1.5516999999999996
Primary Energy|Gas,2025,ARM,EJ/yr,0.060700000000000004
Primary Energy|Gas,2025,ASM,EJ/yr,0.0
Primary Energy|Gas,2025,ATA,EJ/yr,0.0
Primary Energy|Gas,2025,ATF,EJ/yr,0.0
Primary Energy|Gas,2025,ATG,EJ/yr,0.0003
Primary Energy|Gas,2025,AUS,EJ/yr,1.2207999999999997
Primary Energy|Gas,2025,AUT,EJ/yr,0.17330000000000004
Primary Energy|Gas,2025,AZE,EJ/yr,0.6527999999999999
Primary Energy|Gas,2025,BDI,EJ/yr,0.018
Primary Energy|Gas,2025,BEL,EJ/yr,0.43239999999999995
Primary Energy|Gas,2025,BEN,EJ/yr,0.022399999999999993
Primary Energy|Gas,2025,BES,EJ/yr,0.0
Primary Energy|Gas,2025,BFA,EJ/yr,0.0329
Primary Energy|Gas,2025,BGD,EJ/yr,0.9721
Primary Energy|Gas,2025,BGR,EJ/yr,0.07809999999999999
Primary Energy|Gas,2025,BHR,EJ/yr,0.31610000000000005
Primary Energy|Gas,2025,BHS,EJ/yr,0.0022000000000000006
Primary Energy|Gas,2025,BIH,EJ/yr,0.0579
Primary Energy|Gas,2025,BLM,EJ/yr,0.0
Primary Energy|Gas,2025,BLR,EJ/yr,0.48339999999999994
Primary Energy|Gas,2025,BLZ,EJ/yr,0.0012000000000000001
Primary Energy|Gas,2025,BMU,EJ/yr,0.0
Primary Energy|Gas,2025,BOL,EJ/yr,0.04700000000000001
Primary Energy|Gas,2025,BRA,EJ/yr,0.9355999999999998
Primary Energy|Gas,2025,BRB,EJ/yr,0.0013
Primary Energy|Gas,2025,BRN,EJ/yr,0.015000000000000001
Primary Energy|Gas,2025,BTN,EJ/yr,0.0015
Primary Energy|Gas,2025,BVT,EJ/yr,0.0
Primary Energy|Gas,2025,BWA,EJ/yr,0.0144
Primary Energy|Gas,2025,CAF,EJ/yr,0.0089
Primary Energy|Gas,2025,CAN,EJ/yr,4.123999999999999
Primary Energy|Gas,2025,CCK,EJ/yr,0.0
Primary Energy|Gas,2025,CHE,EJ/yr,0.08299999999999999
Primary Energy|Gas,2025,CHL,EJ/yr,0.2343
Primary Energy|Gas,2025,CHN,EJ/yr,16.531999999999996
Primary Energy|Gas,2025,CIV,EJ/yr,0.061
Primary Energy|Gas,2025,CMR,EJ/yr,0.0446
Primary Energy|Gas,2025,COD,EJ/yr,0.15820000000000004
Primary Energy|Gas,2025,COG,EJ/yr,0.0139
Primary Energy|Gas,2025,COK,EJ/yr,0.0
Primary Energy|Gas,2025,COL,EJ/yr,0.5037999999999999
Primary Energy|Gas,2025,COM,EJ/yr,0.0014
Primary Energy|Gas,2025,CPV,EJ/yr,0.0014
