# source: IRENA-RCS-2025
# source2: BNEF-2024
# description: Custom projections based on {{source}} and {{source2}} with details documented in the description of the `Feasibility Concern|Solar PV Capacity` and `Feasibility Concern|Wind Capacity` criteria.
variable,year,region,unit,value
Capacity|Electricity|Solar,2030,CHN,GW,1033.5534
Capacity|Electricity|Solar,2030,IND,GW,113.44578
Capacity|Electricity|Wind,2030,CHN,GW,436.32408
Capacity|Electricity|Wind,2030,IND,GW,38.05542
Capacity|Electricity|Wind,2030,USA,GW,106.93662
Capacity|Electricity|Wind|Onshore,2030,CHN,GW,392.05434
Capacity|Electricity|Wind|Onshore,2030,IND,GW,38.05542
Capacity|Electricity|Wind|Onshore,2030,USA,GW,105.55134
